Date;Name;Account;Balance
2014-12-19;Kitra P. Navarro;DO59148050594550873704111981;€96,653
2015-12-21;Adena W. Powell;HU89882632573888833924464750;€112,720
2014-10-18;Forrest O. Bender;KW2038641110181279982517569781;€100,219
2015-07-29;Indira W. Christian;NL22QPIE7130840964;€142,912
2015-03-22;Amaya F. Hale;NL90ZULS2115029385;€153,153
2015-04-04;Amir B. English;CZ8355464593604939804594;€184,284
2015-02-27;Xenos O. Davenport;LV98SBPP8869401782950;€157,986
2015-07-23;Clinton N. Lee;HR7055885343290545443;€99,272
2014-09-02;Helen O. Zamora;BA645921250853092562;€2,634
2016-02-13;Noelle B. Raymond;MT13EHAJ57327901391138579443772;€16,783
2015-01-12;Nathaniel A. Obrien;SA7253911777739778360465;€27,738
2015-07-07;Robert T. Bright;FI9825589186201645;€57,824
2016-01-01;Mark A. Bennett;RS71845085242129759682;€153,970
2014-06-12;Clio K. Sanford;IL727840179735642468448;€22,119
2016-05-22;Julie K. Wood;GT56036727377492675049504324;€104,969
2015-10-12;Montana N. Hudson;IS952535641368843947677238;€195,911
2014-12-14;James N. Allen;DK9328343833745402;€64,149
2014-12-22;Pandora C. Carlson;KW3708100952570833460603520110;€51,329
2015-02-17;Emi G. Steele;MC5121637223890488645869313;€9,737
2015-06-27;Fletcher J. Wong;DO20046756332940336624787208;€45,012
2014-09-10;Karleigh Y. Garrison;CH4688917437995821639;€199,934
2016-04-02;Leigh M. Moss;GT97280984742382710205299458;€132,033
2014-09-22;Orli U. May;IE75BZWU26595356943046;€74,930
2016-01-19;Winifred K. Walsh;CY41045774824694802254733414;€82,953
2014-11-08;Cathleen L. Taylor;AD0776066063119444777438;€46,610
2016-05-23;Murphy C. Melendez;CY06522465907687193932104278;€23,751
2014-08-22;Dale O. Mccullough;MC0683825136002923071968607;€185,678
2015-02-09;Emily Y. Hyde;LV66OFYC5887654049215;€78,412
2015-09-19;Farrah I. Fuller;VG9810989376392034145078;€166,537
2014-07-31;Amal O. Becker;CH4847959517922196986;€104,174
2016-03-11;Nolan K. Jarvis;VG8173720744993364940569;€140,531
2016-05-10;Maxine O. Gaines;FR0936487521035017069393021;€105,301
2015-01-23;Noel P. David;HR2907366545520422988;€134,287
2015-02-18;Lee F. Hahn;HU21068505351419222460342354;€0,375
2015-12-05;Athena R. Kemp;EE811223309151438753;€150,001
2014-10-12;Declan S. Rowe;TN1205686812979660781380;€187,731
2015-02-08;Christopher B. Sanford;CY21021141223838172558432318;€180,045
