Date;Name;Account;Balance
2014-08-26;Kirsten E. Garrison;SA6757645423186540813282;€44,913
2015-08-29;Brian W. Bishop;ES0608159077883096378405;€62,935
2015-02-18;Lee F. Hahn;HU21068505351419222460342354;€0,375
2015-12-05;Athena R. Kemp;EE811223309151438753;€150,001
2015-10-28;Wayne O. Gilbert;ME44894459916559670025;€75,525
2014-11-27;Ferdinand V. Paul;VG8445543827115780979022;€178,766
2014-10-12;Declan S. Rowe;TN1205686812979660781380;€187,731
2014-10-20;Aubrey K. Whitehead;NO2856202914163;€184,847
2015-03-11;Bryar M. Robbins;LB40927193771097944061239837;€50,984
2015-06-15;Pandora W. Mccullough;PT60508600772405295502236;€1,540
2015-09-24;Timothy G. Lester;EE521618201281106183;€17,882
2015-02-08;Christopher B. Sanford;CY21021141223838172558432318;€180,045
2015-02-15;Murphy N. Dickson;ME08115097859177222950;€5,792
2015-02-09;Lee K. Mathews;NL81PHUX7614231664;€93,546
2014-08-12;Doris Y. Lucas;EE414052660180429545;€105,686
2015-01-02;Wyoming R. Koch;BH73633521409353207480;€80,652
2015-11-13;Lyle G. Kelley;EE942023189004561962;€62,352
2015-09-26;Steel A. Williamson;BE86613069007274;€115,853
2016-01-15;Brynn J. Singleton;EE541547554445024106;€137,351
2015-09-14;Cody U. Murphy;AD6459028374909428981903;€58,269
2015-07-01;Judah L. Cote;GE34826840260170400389;€66,423
2015-01-13;Kellie J. Dickerson;FR9742387281244227434434117;€55,280
2015-06-11;Selma S. Reese;IS624394640487802102187014;€154,377
2015-05-24;Montana H. Higgins;FI5295883354953457;€91,613
2015-01-26;Uriel Y. Knox;KW9718556548009584070247674773;€193,309
2014-12-27;Caleb H. Burgess;LI1782818971978269531;€139,194
